sent_id,para_id,sent_idx,sent_text,start_char,end_char,question_ids,llm_salient
squad_v2_5727ebe03acd2414000deff0_s0,squad_v2_5727ebe03acd2414000deff0,0,"Nasser remains an iconic figure in the Arab world, particularly for his strides towards social justice and Arab unity, modernization policies, and anti-imperialist efforts.",0,172,5727ebe03acd2414000deff0,1
squad_v2_5727ebe03acd2414000deff0_s1,squad_v2_5727ebe03acd2414000deff0,1,"His presidency also encouraged and coincided with an Egyptian cultural boom, and launched large industrial projects, including the Aswan Dam and Helwan City.",173,330,5727ebe03acd2414000deff0,1
squad_v2_5727ebe03acd2414000deff0_s2,squad_v2_5727ebe03acd2414000deff0,2,"Nasser's detractors criticize his authoritarianism, his government's human rights violations, his populist relationship with the citizenry, and his failure to establish civil institutions, blaming his legacy for future dictatorial governance in Egypt.",331,582,5727ebe03acd2414000deff0,1
squad_v2_5727ebe03acd2414000deff0_s3,squad_v2_5727ebe03acd2414000deff0,3,Historians describe Nasser as a towering political figure of the Middle East in the 20th century.,583,680,5727ebe03acd2414000deff0,1
squad_v2_56dff532231d4119001abf05_s0,squad_v2_56dff532231d4119001abf05,0,"In Ireland, pubs are known for their atmosphere or ""craic"".",0,59,56dff532231d4119001abf05,1
squad_v2_56dff532231d4119001abf05_s1,squad_v2_56dff532231d4119001abf05,1,"In Irish, a pub is referred to as teach tábhairne (""tavernhouse"") or teach óil (""drinkinghouse"").",60,157,56dff532231d4119001abf05,1
squad_v2_56dff532231d4119001abf05_s2,squad_v2_56dff532231d4119001abf05,2,"Live music, either sessions of traditional Irish music or varieties of modern popular music, is frequently featured in the pubs of Ireland.",158,297,56dff532231d4119001abf05,1
squad_v2_56dff532231d4119001abf05_s3,squad_v2_56dff532231d4119001abf05,3,Pubs in Northern Ireland are largely identical to their counterparts in the Republic of Ireland except for the lack of spirit grocers.,298,432,56dff532231d4119001abf05,1
squad_v2_56dff532231d4119001abf05_s4,squad_v2_56dff532231d4119001abf05,4,"A side effect of ""The Troubles"" was that the lack of a tourist industry meant that a higher proportion of traditional bars have survived the wholesale refitting of Irish pub interiors in the 'English style' in the 1950s and 1960s.",433,663,56dff532231d4119001abf05,1
squad_v2_56dff532231d4119001abf05_s5,squad_v2_56dff532231d4119001abf05,5,New Zealand sports a number of Irish pubs.,664,706,56dff532231d4119001abf05,0
squad_v2_56d61c4e1c85041400946f1d_s0,squad_v2_56d61c4e1c85041400946f1d,0,The Internet was extensively used for passing information to aid rescue and recovery efforts.,0,93,56d61c4e1c85041400946f1d,1
squad_v2_56d61c4e1c85041400946f1d_s1,squad_v2_56d61c4e1c85041400946f1d,1,"For example, the official news agency Xinhua set up an online rescue request center in order to find the blind spots of disaster recovery.",94,232,56d61c4e1c85041400946f1d,1
squad_v2_56d61c4e1c85041400946f1d_s2,squad_v2_56d61c4e1c85041400946f1d,2,"After knowing that rescue helicopters had trouble landing into the epicenter area in Wenchuan, a student proposed a landing spot online and it was chosen as the first touchdown place for the helicopters[not in citation given].",233,459,56d61c4e1c85041400946f1d,1
squad_v2_56d61c4e1c85041400946f1d_s3,squad_v2_56d61c4e1c85041400946f1d,3,Volunteers also set up several websites to help store contact information for victims and evacuees.,460,559,56d61c4e1c85041400946f1d,1
squad_v2_56d61c4e1c85041400946f1d_s4,squad_v2_56d61c4e1c85041400946f1d,4,"On May 31, a rescue helicopter carrying earthquake survivors and crew members crashed in fog and turbulence in Wenchuan county.",560,687,56d61c4e1c85041400946f1d,1
squad_v2_56d61c4e1c85041400946f1d_s5,squad_v2_56d61c4e1c85041400946f1d,5,No-one survived.,688,704,56d61c4e1c85041400946f1d,1
squad_v2_572abec0be1ee31400cb8201_s0,squad_v2_572abec0be1ee31400cb8201,0,"In Why F A Hayek is a Conservative, British policy analyst Madsen Pirie claims Hayek mistakes the nature of the conservative outlook.",0,133,572abec0be1ee31400cb8201,1
squad_v2_572abec0be1ee31400cb8201_s1,squad_v2_572abec0be1ee31400cb8201,1,"Conservatives, he says, are not averse to change – but like Hayek, they are highly averse to change being imposed on the social order by people in authority who think they know how to run things better.",134,336,572abec0be1ee31400cb8201,1
squad_v2_572abec0be1ee31400cb8201_s2,squad_v2_572abec0be1ee31400cb8201,2,They wish to allow the market to function smoothly and give it the freedom to change and develop.,337,434,572abec0be1ee31400cb8201,1
squad_v2_572abec0be1ee31400cb8201_s3,squad_v2_572abec0be1ee31400cb8201,3,"It is an outlook, says Pirie, that Hayek and conservatives both share.",435,505,572abec0be1ee31400cb8201,1
